,BID,BVH,CTG,FPT,GAS,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PNJ,REE,SBT,SSI,STB,TCH,VCB,VIC,VNM,VN30
2017-01-20,12348.3,60900.0,17900.0,15924.1,58100.0,6621.2,9129.3,5114.8,41000.0,18740.0,24715.0,12000.0,22895.1,25600.0,20035.1,9788.6,9500.0,12036.9,28199.0,34711.0,100319.0,634.28
2017-01-23,12496.6,60900.0,18300.0,16014.1,58500.0,6589.8,9083.2,5078.0,41200.0,18599.0,24545.0,12091.0,22895.1,24850.0,19953.4,9715.7,9550.0,12036.9,28274.0,34711.0,101109.0,635.42
2017-01-24,12607.9,60900.0,18550.0,16104.2,60000.0,6589.8,8990.9,5188.4,41200.0,18681.0,24588.0,12454.0,22795.4,25350.0,19953.4,9740.0,9850.0,11928.8,28645.0,34298.0,101109.0,639.32
2017-01-25,12533.7,61100.0,18550.0,16248.3,60100.0,6636.8,9083.2,5206.8,41250.0,18798.0,25734.0,12546.0,22928.3,25700.0,19871.6,9812.9,10200.0,12145.0,29164.0,34711.0,101899.0,644.79
2017-02-02,12756.2,62500.0,18700.0,16176.2,60500.0,6699.6,9129.3,5225.2,42200.0,19856.0,25862.0,12546.0,23426.8,26000.0,19626.3,10031.5,10050.0,12036.9,29275.0,35124.0,105058.0,652.98
2017-02-03,12756.2,63400.0,18450.0,16104.2,59500.0,6778.1,9083.2,5206.8,42300.0,19738.0,25862.0,12454.0,23293.8,25900.0,19626.3,9958.6,10050.0,11964.8,28719.0,34711.0,105769.0,651.18
2017-02-06,12756.2,63200.0,18300.0,15960.1,60000.0,6919.3,9037.0,5188.4,42600.0,20032.0,25437.0,12364.0,23659.4,26400.0,19544.5,9982.9,9950.0,11856.7,28719.0,35041.0,105216.0,654.03
2017-02-07,12682.0,63100.0,18150.0,16032.1,60000.0,6997.7,8990.9,5151.6,42600.0,20020.0,25267.0,12546.0,24124.6,26900.0,19544.5,10152.9,9870.0,11784.6,29127.0,35372.0,105690.0,656.48
2017-02-08,12607.9,63200.0,17850.0,16068.2,59100.0,7005.6,8944.8,5206.8,42600.0,19832.0,25097.0,12636.0,24257.5,26900.0,19462.7,10152.9,10000.0,11604.4,29498.0,35331.0,105769.0,657.97
2017-02-09,12496.6,62800.0,18050.0,16050.2,58000.0,6989.9,9037.0,5243.6,42500.0,19621.0,24970.0,12727.0,24058.1,27400.0,19462.7,10104.3,10200.0,11676.5,29461.0,35248.0,105927.0,658.83
2017-02-10,12682.0,63400.0,18550.0,16014.1,59000.0,6958.5,9083.2,5206.8,42000.0,19774.0,24970.0,12636.0,24623.0,27400.0,19462.7,10104.3,10200.0,11676.5,29164.0,35124.0,105690.0,658.78
2017-02-13,12496.6,64500.0,18500.0,16140.2,59100.0,7021.3,9267.6,5298.8,41800.0,20349.0,25140.0,12546.0,25088.2,27800.0,19544.5,10298.7,10000.0,12217.1,28830.0,35124.0,105690.0,662.68
2017-02-14,12607.9,63000.0,18650.0,16716.7,59100.0,7076.2,9313.7,5262.0,41500.0,20208.0,25140.0,12546.0,24955.3,27500.0,19626.3,10250.1,10100.0,12505.4,28719.0,35165.0,104979.0,663.43
2017-02-15,12867.4,63700.0,19300.0,16572.5,59100.0,7084.0,9359.8,5335.6,41950.0,20326.0,25267.0,12636.0,24888.9,27600.0,19789.8,10298.7,9950.0,12253.1,28941.0,36777.0,105058.0,669.08
2017-02-16,12607.9,63400.0,19300.0,16320.4,59300.0,7013.4,9913.1,5372.4,41950.0,20326.0,25607.0,12727.0,24656.2,27000.0,19748.9,10152.9,10450.0,12361.2,28645.0,36364.0,104268.0,667.72
2017-02-17,12533.7,63000.0,18900.0,16320.4,58900.0,6950.6,9913.1,5427.6,41700.0,20208.0,25819.0,12773.0,24922.1,27300.0,19748.9,10225.8,11000.0,12361.2,28422.0,36364.0,102689.0,668.1
2017-02-20,12311.2,63000.0,18500.0,16230.3,59000.0,6589.8,9913.1,5390.8,42000.0,19738.0,26796.0,13409.0,26051.9,27500.0,19748.9,10225.8,11050.0,12036.9,28162.0,37438.0,102689.0,667.56
2017-02-21,12385.4,62500.0,18300.0,16356.4,59700.0,6629.0,10281.9,5390.8,42550.0,19797.0,28028.0,13182.0,25819.3,27250.0,19789.8,10225.8,10850.0,11964.8,28496.0,38388.0,102926.0,671.52
2017-02-22,12311.2,61800.0,18000.0,16500.5,62000.0,6307.4,10143.6,5390.8,42200.0,19515.0,28113.0,13182.0,25553.4,26950.0,19789.8,10468.7,10950.0,11712.6,28125.0,37769.0,103005.0,668.61
2017-02-23,12348.3,60500.0,17900.0,16572.5,63000.0,6370.1,10143.6,5448.3,42200.0,19421.0,27985.0,13136.0,25187.9,26700.0,19789.8,10493.0,11050.0,11784.6,27903.0,37397.0,102926.0,667.42
2017-02-24,12348.3,59600.0,18050.0,16572.5,61700.0,6346.6,10097.5,5429.1,41700.0,19503.0,27730.0,13182.0,25320.8,26500.0,19748.9,10347.2,10300.0,11820.7,27791.0,37397.0,104189.0,661.81
2017-02-27,12385.4,59500.0,18300.0,16770.7,61900.0,6315.2,10097.5,5410.0,41000.0,19809.0,28240.0,12954.0,25752.8,26850.0,19667.1,10347.2,10450.0,11856.7,28348.0,37975.0,104110.0,666.22
2017-02-28,12199.9,59500.0,18250.0,16518.5,60300.0,6276.0,10097.5,5371.6,41000.0,19633.0,28452.0,13000.0,24922.1,25100.0,19626.3,10298.7,10300.0,11712.6,27754.0,37190.0,103794.0,657.95
2017-03-01,12088.7,58400.0,18000.0,16464.5,58900.0,6417.2,10328.0,5352.4,41000.0,19562.0,29217.0,12954.0,25088.2,24750.0,19626.3,10298.7,10200.0,11604.4,27606.0,36942.0,103320.0,655.99
2017-03-02,11903.3,58000.0,17950.0,16374.4,58000.0,6589.8,10696.9,5333.2,40900.0,19621.0,29217.0,12773.0,25287.6,24800.0,19667.1,10055.8,10200.0,11532.4,27383.0,36446.0,102452.0,653.76
2017-03-03,12162.9,59200.0,18300.0,16446.5,58600.0,6432.9,10743.0,5294.8,41000.0,19539.0,29259.0,13000.0,25520.2,24650.0,19667.1,10104.3,10900.0,11640.5,27828.0,36777.0,102610.0,656.77
2017-03-06,12311.2,59200.0,18400.0,16554.5,58200.0,6464.3,10789.1,5352.4,41000.0,19539.0,29259.0,12864.0,25354.1,25700.0,19708.0,10201.5,10800.0,11676.5,27680.0,36983.0,103400.0,658.61
2017-03-07,12237.0,59500.0,18300.0,16500.5,58200.0,6464.3,10812.2,5352.4,41000.0,19727.0,29132.0,12818.0,25420.5,26150.0,19708.0,10201.5,10500.0,11784.6,27828.0,37066.0,102689.0,659.9
2017-03-08,12311.2,59200.0,18350.0,16500.5,57800.0,6472.1,10835.2,5410.0,41700.0,19950.0,28877.0,12818.0,25852.5,26100.0,19667.1,10201.5,10600.0,11784.6,27977.0,36777.0,103162.0,662.48
2017-03-09,12459.5,59100.0,18400.0,16392.4,56800.0,6589.8,10720.0,5582.6,41750.0,19856.0,28877.0,12773.0,26218.0,25800.0,19667.1,10444.4,10450.0,11712.6,28051.0,36529.0,103084.0,664.3
2017-03-10,12274.1,59100.0,18200.0,16572.5,55800.0,6605.5,10743.0,5525.1,41750.0,19856.0,28877.0,12773.0,26118.3,27000.0,19667.1,10371.5,10450.0,11640.5,27828.0,36529.0,102610.0,663.49
